Job Title,Hourly/Fixed,Budget,Level,Skills
Experienced Ruby on Rails Developer Needed for Existing Codebase,Hourly: $10.00 - $15.00,N/A,Intermediate,"Ruby, Ruby on Rails, JavaScript, API, PostgreSQL"
Mobile Flashcard/Quiz Practice App Development,Fixed price,"Est. budget:
$750.00",Intermediate,"Web Development, Tablet, Smartwatch, Android, iOS, Smartphone, JavaScript, User Authentication"
Process Flow Map Development,Hourly,N/A,Intermediate,"Microsoft Visio, Graphic Design, Flowchart, JavaScript, Business Intelligence"
UI Development for Rideshare App in React Native,Hourly: $15.00 - $20.00,N/A,Intermediate,"Mobile App Development, React Native, Android, iOS, Smartphone"
Frontend Developer Needed to Build Responsive Dashboard,Fixed price,"Est. budget:
$70.00",Expert,"Front-End Development, React"
Javacript Dev for RPG Maker Plugins,Hourly,N/A,Intermediate,"Game Development, JavaScript, RPG Maker"
Adobe XD Functional Feature Prototype,Hourly: $15.00 - $30.00,N/A,Intermediate,"Interactive Prototype, Adobe XD, Prototyping"
Monthly Website Update Coordinator,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, WordPress, Data Entry, Web Design, Content Writing"
"React, Ruby on Rails Engineer Needed -- Strong in React",Hourly: $5.00 - $10.00,N/A,Expert,"React, Ruby on Rails, CSS, JavaScript, Amazon Web Services, Web Application, HTML"
API development Airtable - courier,Fixed price,"Est. budget:
$50.00",Intermediate,"API, Airtable, API Integration"
Experienced Developer for Bridging iOS SDK Functionality to React Native,Hourly: $30.00 - $50.00,N/A,Expert,"React Native, iOS, Android"
Remote Mouse Click Automation Program Development,Fixed price,"Est. budget:
$500.00",Intermediate,"Python, Java, C#, JavaScript, Lead Generation"
Website Setup for Coaching Business on Simplero,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, Web Design, Social Media Marketing, Marketing Strategy, Lead Generation"
Looking for a website builder who can build a similar website like Craigslist.,Hourly: $12.00 - $27.00,N/A,Intermediate,"Web Development, JavaScript, HTML, Web Design"
WooCommerce Developer Needed for Composite Products & Theme-Based Configurator Integration,Hourly: $12.00 - $27.00,N/A,Intermediate,WooCommerce
Webflow Developer,Hourly: $10.00 - $20.00,N/A,Intermediate,"Web Development, Webflow, Website, Web Design, Landing Page, Animation"
GHL Automated Booking Expert Needed,Hourly: $20.00 - $40.00,N/A,Intermediate,"Web Development, WordPress, JavaScript, PHP, Automation"
Flutter Web Dev,Hourly,N/A,Intermediate,"Web Development, Flutter"
iOS / Android Internal Work Order Application,Hourly,N/A,Intermediate,"Mobile App Development, iOS, Android, Azure App Service"
WordPress Designer For Case Study Pages (Existing Site),Hourly,N/A,Expert,"Web Development, WordPress, Graphic Design, Web Design, Adobe Illustrator"
Software Architect / Technical Lead (Node.js Expertise),Hourly: $25.00 - $35.00,N/A,Intermediate,"TypeScript, NestJS, Next.js, Node.js, JavaScript, React, CI/CD"
C# Developer (Desktop & Integration Focus),Hourly,N/A,Intermediate,"API Integration, C#, .NET Framework, SQL, Python"
Web Designer with Webflow Expertise,Hourly,N/A,Expert,"Web Development, Website, Mockup, Prototyping, Visual Communication, UX Writing, Webflow, +3"
Node.js \ Error when starting the site prevents the site from launching,Fixed price,"Est. budget:
$200.00",Intermediate,"Web Development, Node.js, JavaScript"
Shopify Developer | Full stack developer React / jQuery / Liquid,Hourly: $10.00 - $18.00,N/A,Intermediate,"App Development, Web Development, Liquid, JavaScript, HTML, jQuery, React, HTML5, +2"
Build an Online Price Comparison and Credibility Score App,Hourly: $12.00 - $27.00,N/A,Intermediate,"App Development, Web Development, App Feature Development, PHP, App Design"
Webflow Developer Needed,Hourly,N/A,Expert,"Web Development, Webflow, Web Design"
Fix and Improve a Google Chrome extension,Hourly: $15.00 - $35.00,N/A,Intermediate,"Google Chrome Extension, JavaScript"
"Set up docker, S3, and SNS",Fixed price,"Est. budget:
$350.00",Expert,"Docker, Amazon Web Services, Amazon S3, DevOps, Deployment Automation, Linux System Administration"
Shopify Website Design Changes,Hourly: $15.00 - $20.00,N/A,Intermediate,"Web Development, Shopify, Web Design, Shopify Templates, HTML"
ICO Token Development and Launch,Hourly: $10.00 - $15.00,N/A,Expert,"Blockchain, Cryptocurrency, Initial Coin Offering, Ethereum, Smart Contract, Solidity"
Develop responsive Wordpress based website from a Figma file + widget implementation,Fixed price,"Est. budget:
$550.00",Expert,
Laravel & React Developer Needed for Code Fixes and CRUD Enhancements,Fixed price,"Est. budget:
$50.00",Expert,"Full-Stack Development, Web Development, MySQL, PostgreSQL, React, JavaScript, Laravel, PHP, +1"
"[$250] Wallet - In offline mode, no full blocking view in country page, country & currency are editable #54746 - Expensify",Fixed price,"Est. budget:
$250.00",Intermediate,
Need an offline copy of my ecommerce site,Hourly: $20.00 - $40.00,N/A,Expert,"Website Migration, Web Scraping"
Automate Numbering System in Notion Database,Hourly: $20.00 - $50.00,N/A,Intermediate,"Microsoft Excel, Automation, SQL, Microsoft Windows PowerShell, MySQL"
Shopify Website Development and Customization,Hourly: $5.00 - $12.00,N/A,Intermediate,"Web Development, Shopify, Web Design, CSS, HTML"
Figma Design + Webflow Dev,Fixed price,"Est. budget:
$3,000.00",Expert,"Web Development, Website Redesign, Website, Figma, Webflow, Web Design, HTML, CSS, +2"
"Reaserch Django, AI Chatbot developer",Fixed price,"Est. budget:
$150.00",Intermediate,"GPT-4, Python, Django, Natural Language Processing, React, Data Science"
Solidity code to save data over Web3,Fixed price,"Est. budget:
$200.00",Expert,"Solidity, Blockchain, Cryptocurrency"
"Developing A Comprehensive Platform for Managing Educational, Sports, and Recreational Activities",Hourly,N/A,Expert,"Web Development, Full-Stack Development, Front-End Development, Back-End Development, iOS Development, +5"
setup iot streaming with Gstream and Agora,Fixed price,"Est. budget:
$200.00",Expert,"Internet of Things, Python, Video Stream, Embedded System, GStreamer, Agora.io"
Comparison table HTML-CSS wordpress,Hourly: $15.00 - $25.00,N/A,Intermediate,"CSS, HTML, WordPress"
WordPress & Elementor Expert Needed for Company Profile Landing Page,Hourly: $10.00 - $20.00,N/A,Intermediate,"Web Development, WordPress, Web Design, Landing Page, Graphic Design"
Full stack developer,Fixed price,"Est. budget:
$200.00",Intermediate,
Build a system that finds Burnt down Property,Hourly: $15.00 - $35.00,N/A,Intermediate,"API, Python"
Front-end developer,Fixed price,"Est. budget:
$200.00",Intermediate,"Next.js, React"
Updating software,Hourly,N/A,Intermediate,C#
VPN mobile application in Flutter,Fixed price,"Est. budget:
$100.00",Intermediate,"Mobile App Development, Flutter, iOS, Android"
".NET Expert Needed for Legacy Application: Compile, Cloud Deployment, and Documentation",Fixed price,"Est. budget:
$250.00",Expert,"SQLite, Azure Cosmos DB, .NET Framework, C#, Microsoft Azure, ASP.NET, Azure App Service, API, +2"
Experienced Ruby on Rails Developer Needed for Existing Codebase,Hourly: $10.00 - $15.00,N/A,Intermediate,"Ruby, Ruby on Rails, JavaScript, API, PostgreSQL"
Mobile Flashcard/Quiz Practice App Development,Fixed price,"Est. budget:
$750.00",Intermediate,"Web Development, Tablet, Smartwatch, Android, iOS, Smartphone, JavaScript, User Authentication"
Process Flow Map Development,Hourly,N/A,Intermediate,"Microsoft Visio, Graphic Design, Flowchart, JavaScript, Business Intelligence"
UI Development for Rideshare App in React Native,Hourly: $15.00 - $20.00,N/A,Intermediate,"Mobile App Development, React Native, Android, iOS, Smartphone"
Frontend Developer Needed to Build Responsive Dashboard,Fixed price,"Est. budget:
$70.00",Expert,"Front-End Development, React"
Javacript Dev for RPG Maker Plugins,Hourly,N/A,Intermediate,"Game Development, JavaScript, RPG Maker"
Adobe XD Functional Feature Prototype,Hourly: $15.00 - $30.00,N/A,Intermediate,"Interactive Prototype, Adobe XD, Prototyping"
Monthly Website Update Coordinator,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, WordPress, Data Entry, Web Design, Content Writing"
"React, Ruby on Rails Engineer Needed -- Strong in React",Hourly: $5.00 - $10.00,N/A,Expert,"React, Ruby on Rails, CSS, JavaScript, Amazon Web Services, Web Application, HTML"
API development Airtable - courier,Fixed price,"Est. budget:
$50.00",Intermediate,"API, Airtable, API Integration"
Experienced Developer for Bridging iOS SDK Functionality to React Native,Hourly: $30.00 - $50.00,N/A,Expert,"React Native, iOS, Android"
Remote Mouse Click Automation Program Development,Fixed price,"Est. budget:
$500.00",Intermediate,"Python, Java, C#, JavaScript, Lead Generation"
Website Setup for Coaching Business on Simplero,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, Web Design, Social Media Marketing, Marketing Strategy, Lead Generation"
Looking for a website builder who can build a similar website like Craigslist.,Hourly: $12.00 - $27.00,N/A,Intermediate,"Web Development, JavaScript, HTML, Web Design"
WooCommerce Developer Needed for Composite Products & Theme-Based Configurator Integration,Hourly: $12.00 - $27.00,N/A,Intermediate,WooCommerce
Webflow Developer,Hourly: $10.00 - $20.00,N/A,Intermediate,"Web Development, Webflow, Website, Web Design, Landing Page, Animation"
GHL Automated Booking Expert Needed,Hourly: $20.00 - $40.00,N/A,Intermediate,"Web Development, WordPress, JavaScript, PHP, Automation"
Flutter Web Dev,Hourly,N/A,Intermediate,"Web Development, Flutter"
iOS / Android Internal Work Order Application,Hourly,N/A,Intermediate,"Mobile App Development, iOS, Android, Azure App Service"
WordPress Designer For Case Study Pages (Existing Site),Hourly,N/A,Expert,"Web Development, WordPress, Graphic Design, Web Design, Adobe Illustrator"
Software Architect / Technical Lead (Node.js Expertise),Hourly: $25.00 - $35.00,N/A,Intermediate,"TypeScript, NestJS, Next.js, Node.js, JavaScript, React, CI/CD"
C# Developer (Desktop & Integration Focus),Hourly,N/A,Intermediate,"API Integration, C#, .NET Framework, SQL, Python"
Web Designer with Webflow Expertise,Hourly,N/A,Expert,"Web Development, Website, Mockup, Prototyping, Visual Communication, UX Writing, Webflow, +3"
Node.js \ Error when starting the site prevents the site from launching,Fixed price,"Est. budget:
$200.00",Intermediate,"Web Development, Node.js, JavaScript"
Shopify Developer | Full stack developer React / jQuery / Liquid,Hourly: $10.00 - $18.00,N/A,Intermediate,"App Development, Web Development, Liquid, JavaScript, HTML, jQuery, React, HTML5, +2"
Build an Online Price Comparison and Credibility Score App,Hourly: $12.00 - $27.00,N/A,Intermediate,"App Development, Web Development, App Feature Development, PHP, App Design"
Webflow Developer Needed,Hourly,N/A,Expert,"Web Development, Webflow, Web Design"
Fix and Improve a Google Chrome extension,Hourly: $15.00 - $35.00,N/A,Intermediate,"Google Chrome Extension, JavaScript"
"Set up docker, S3, and SNS",Fixed price,"Est. budget:
$350.00",Expert,"Docker, Amazon Web Services, Amazon S3, DevOps, Deployment Automation, Linux System Administration"
Shopify Website Design Changes,Hourly: $15.00 - $20.00,N/A,Intermediate,"Web Development, Shopify, Web Design, Shopify Templates, HTML"
ICO Token Development and Launch,Hourly: $10.00 - $15.00,N/A,Expert,"Blockchain, Cryptocurrency, Initial Coin Offering, Ethereum, Smart Contract, Solidity"
Develop responsive Wordpress based website from a Figma file + widget implementation,Fixed price,"Est. budget:
$550.00",Expert,
Laravel & React Developer Needed for Code Fixes and CRUD Enhancements,Fixed price,"Est. budget:
$50.00",Expert,"Full-Stack Development, Web Development, MySQL, PostgreSQL, React, JavaScript, Laravel, PHP, +1"
"[$250] Wallet - In offline mode, no full blocking view in country page, country & currency are editable #54746 - Expensify",Fixed price,"Est. budget:
$250.00",Intermediate,
Need an offline copy of my ecommerce site,Hourly: $20.00 - $40.00,N/A,Expert,"Website Migration, Web Scraping"
Automate Numbering System in Notion Database,Hourly: $20.00 - $50.00,N/A,Intermediate,"Microsoft Excel, Automation, SQL, Microsoft Windows PowerShell, MySQL"
Shopify Website Development and Customization,Hourly: $5.00 - $12.00,N/A,Intermediate,"Web Development, Shopify, Web Design, CSS, HTML"
Figma Design + Webflow Dev,Fixed price,"Est. budget:
$3,000.00",Expert,"Web Development, Website Redesign, Website, Figma, Webflow, Web Design, HTML, CSS, +2"
"Reaserch Django, AI Chatbot developer",Fixed price,"Est. budget:
$150.00",Intermediate,"GPT-4, Python, Django, Natural Language Processing, React, Data Science"
Solidity code to save data over Web3,Fixed price,"Est. budget:
$200.00",Expert,"Solidity, Blockchain, Cryptocurrency"
"Developing A Comprehensive Platform for Managing Educational, Sports, and Recreational Activities",Hourly,N/A,Expert,"Web Development, Full-Stack Development, Front-End Development, Back-End Development, iOS Development, +5"
setup iot streaming with Gstream and Agora,Fixed price,"Est. budget:
$200.00",Expert,"Internet of Things, Python, Video Stream, Embedded System, GStreamer, Agora.io"
Comparison table HTML-CSS wordpress,Hourly: $15.00 - $25.00,N/A,Intermediate,"CSS, HTML, WordPress"
WordPress & Elementor Expert Needed for Company Profile Landing Page,Hourly: $10.00 - $20.00,N/A,Intermediate,"Web Development, WordPress, Web Design, Landing Page, Graphic Design"
Full stack developer,Fixed price,"Est. budget:
$200.00",Intermediate,
Build a system that finds Burnt down Property,Hourly: $15.00 - $35.00,N/A,Intermediate,"API, Python"
Front-end developer,Fixed price,"Est. budget:
$200.00",Intermediate,"Next.js, React"
Updating software,Hourly,N/A,Intermediate,C#
VPN mobile application in Flutter,Fixed price,"Est. budget:
$100.00",Intermediate,"Mobile App Development, Flutter, iOS, Android"
".NET Expert Needed for Legacy Application: Compile, Cloud Deployment, and Documentation",Fixed price,"Est. budget:
$250.00",Expert,"SQLite, Azure Cosmos DB, .NET Framework, C#, Microsoft Azure, ASP.NET, Azure App Service, API, +2"
Experienced Ruby on Rails Developer Needed for Existing Codebase,Hourly: $10.00 - $15.00,N/A,Intermediate,"Ruby, Ruby on Rails, JavaScript, API, PostgreSQL"
Mobile Flashcard/Quiz Practice App Development,Fixed price,"Est. budget:
$750.00",Intermediate,"Web Development, Tablet, Smartwatch, Android, iOS, Smartphone, JavaScript, User Authentication"
Process Flow Map Development,Hourly,N/A,Intermediate,"Microsoft Visio, Graphic Design, Flowchart, JavaScript, Business Intelligence"
UI Development for Rideshare App in React Native,Hourly: $15.00 - $20.00,N/A,Intermediate,"Mobile App Development, React Native, Android, iOS, Smartphone"
Frontend Developer Needed to Build Responsive Dashboard,Fixed price,"Est. budget:
$70.00",Expert,"Front-End Development, React"
Javacript Dev for RPG Maker Plugins,Hourly,N/A,Intermediate,"Game Development, JavaScript, RPG Maker"
Adobe XD Functional Feature Prototype,Hourly: $15.00 - $30.00,N/A,Intermediate,"Interactive Prototype, Adobe XD, Prototyping"
Monthly Website Update Coordinator,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, WordPress, Data Entry, Web Design, Content Writing"
"React, Ruby on Rails Engineer Needed -- Strong in React",Hourly: $5.00 - $10.00,N/A,Expert,"React, Ruby on Rails, CSS, JavaScript, Amazon Web Services, Web Application, HTML"
API development Airtable - courier,Fixed price,"Est. budget:
$50.00",Intermediate,"API, Airtable, API Integration"
Experienced Developer for Bridging iOS SDK Functionality to React Native,Hourly: $30.00 - $50.00,N/A,Expert,"React Native, iOS, Android"
Remote Mouse Click Automation Program Development,Fixed price,"Est. budget:
$500.00",Intermediate,"Python, Java, C#, JavaScript, Lead Generation"
Website Setup for Coaching Business on Simplero,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, Web Design, Social Media Marketing, Marketing Strategy, Lead Generation"
Looking for a website builder who can build a similar website like Craigslist.,Hourly: $12.00 - $27.00,N/A,Intermediate,"Web Development, JavaScript, HTML, Web Design"
WooCommerce Developer Needed for Composite Products & Theme-Based Configurator Integration,Hourly: $12.00 - $27.00,N/A,Intermediate,WooCommerce
Webflow Developer,Hourly: $10.00 - $20.00,N/A,Intermediate,"Web Development, Webflow, Website, Web Design, Landing Page, Animation"
GHL Automated Booking Expert Needed,Hourly: $20.00 - $40.00,N/A,Intermediate,"Web Development, WordPress, JavaScript, PHP, Automation"
Flutter Web Dev,Hourly,N/A,Intermediate,"Web Development, Flutter"
iOS / Android Internal Work Order Application,Hourly,N/A,Intermediate,"Mobile App Development, iOS, Android, Azure App Service"
WordPress Designer For Case Study Pages (Existing Site),Hourly,N/A,Expert,"Web Development, WordPress, Graphic Design, Web Design, Adobe Illustrator"
Software Architect / Technical Lead (Node.js Expertise),Hourly: $25.00 - $35.00,N/A,Intermediate,"TypeScript, NestJS, Next.js, Node.js, JavaScript, React, CI/CD"
C# Developer (Desktop & Integration Focus),Hourly,N/A,Intermediate,"API Integration, C#, .NET Framework, SQL, Python"
Senior Python Developer for an ongoing project,Hourly: $35.00 - $35.00,N/A,Intermediate,"Chatbot Development, Python, Django, FastAPI, AWS Application"
C# Developer (Desktop & Integration Focus),Hourly,N/A,Intermediate,"API Integration, C#, .NET Framework, SQL, Python"
Web Designer with Webflow Expertise,Hourly,N/A,Expert,"Web Development, Website, Mockup, Prototyping, Visual Communication, UX Writing, Webflow, +3"
Node.js \ Error when starting the site prevents the site from launching,Fixed price,"Est. budget:
$200.00",Intermediate,"Web Development, Node.js, JavaScript"
Shopify Developer | Full stack developer React / jQuery / Liquid,Hourly: $10.00 - $18.00,N/A,Intermediate,"App Development, Web Development, Liquid, JavaScript, HTML, jQuery, React, HTML5, +2"
Build an Online Price Comparison and Credibility Score App,Hourly: $12.00 - $27.00,N/A,Intermediate,"App Development, Web Development, App Feature Development, PHP, App Design"
Webflow Developer Needed,Hourly,N/A,Expert,"Web Development, Webflow, Web Design"
Fix and Improve a Google Chrome extension,Hourly: $15.00 - $35.00,N/A,Intermediate,"Google Chrome Extension, JavaScript"
"Set up docker, S3, and SNS",Fixed price,"Est. budget:
$350.00",Expert,"Docker, Amazon Web Services, Amazon S3, DevOps, Deployment Automation, Linux System Administration"
Shopify Website Design Changes,Hourly: $15.00 - $20.00,N/A,Intermediate,"Web Development, Shopify, Web Design, Shopify Templates, HTML"
ICO Token Development and Launch,Hourly: $10.00 - $15.00,N/A,Expert,"Blockchain, Cryptocurrency, Initial Coin Offering, Ethereum, Smart Contract, Solidity"
Develop responsive Wordpress based website from a Figma file + widget implementation,Fixed price,"Est. budget:
$550.00",Expert,
Laravel & React Developer Needed for Code Fixes and CRUD Enhancements,Fixed price,"Est. budget:
$50.00",Expert,"Full-Stack Development, Web Development, MySQL, PostgreSQL, React, JavaScript, Laravel, PHP, +1"
"[$250] Wallet - In offline mode, no full blocking view in country page, country & currency are editable #54746 - Expensify",Fixed price,"Est. budget:
$250.00",Intermediate,
Need an offline copy of my ecommerce site,Hourly: $20.00 - $40.00,N/A,Expert,"Website Migration, Web Scraping"
Automate Numbering System in Notion Database,Hourly: $20.00 - $50.00,N/A,Intermediate,"Microsoft Excel, Automation, SQL, Microsoft Windows PowerShell, MySQL"
Shopify Website Development and Customization,Hourly: $5.00 - $12.00,N/A,Intermediate,"Web Development, Shopify, Web Design, CSS, HTML"
Figma Design + Webflow Dev,Fixed price,"Est. budget:
$3,000.00",Expert,"Web Development, Website Redesign, Website, Figma, Webflow, Web Design, HTML, CSS, +2"
"Reaserch Django, AI Chatbot developer",Fixed price,"Est. budget:
$150.00",Intermediate,"GPT-4, Python, Django, Natural Language Processing, React, Data Science"
Solidity code to save data over Web3,Fixed price,"Est. budget:
$200.00",Expert,"Solidity, Blockchain, Cryptocurrency"
"Developing A Comprehensive Platform for Managing Educational, Sports, and Recreational Activities",Hourly,N/A,Expert,"Web Development, Full-Stack Development, Front-End Development, Back-End Development, iOS Development, +5"
setup iot streaming with Gstream and Agora,Fixed price,"Est. budget:
$200.00",Expert,"Internet of Things, Python, Video Stream, Embedded System, GStreamer, Agora.io"
Comparison table HTML-CSS wordpress,Hourly: $15.00 - $25.00,N/A,Intermediate,"CSS, HTML, WordPress"
WordPress & Elementor Expert Needed for Company Profile Landing Page,Hourly: $10.00 - $20.00,N/A,Intermediate,"Web Development, WordPress, Web Design, Landing Page, Graphic Design"
Full stack developer,Fixed price,"Est. budget:
$200.00",Intermediate,
Build a system that finds Burnt down Property,Hourly: $15.00 - $35.00,N/A,Intermediate,"API, Python"
Front-end developer,Fixed price,"Est. budget:
$200.00",Intermediate,"Next.js, React"
Updating software,Hourly,N/A,Intermediate,C#
VPN mobile application in Flutter,Fixed price,"Est. budget:
$100.00",Intermediate,"Mobile App Development, Flutter, iOS, Android"
".NET Expert Needed for Legacy Application: Compile, Cloud Deployment, and Documentation",Fixed price,"Est. budget:
$250.00",Expert,"SQLite, Azure Cosmos DB, .NET Framework, C#, Microsoft Azure, ASP.NET, Azure App Service, API, +2"
Experienced Ruby on Rails Developer Needed for Existing Codebase,Hourly: $10.00 - $15.00,N/A,Intermediate,"Ruby, Ruby on Rails, JavaScript, API, PostgreSQL"
Mobile Flashcard/Quiz Practice App Development,Fixed price,"Est. budget:
$750.00",Intermediate,"Web Development, Tablet, Smartwatch, Android, iOS, Smartphone, JavaScript, User Authentication"
Process Flow Map Development,Hourly,N/A,Intermediate,"Microsoft Visio, Graphic Design, Flowchart, JavaScript, Business Intelligence"
UI Development for Rideshare App in React Native,Hourly: $15.00 - $20.00,N/A,Intermediate,"Mobile App Development, React Native, Android, iOS, Smartphone"
Frontend Developer Needed to Build Responsive Dashboard,Fixed price,"Est. budget:
$70.00",Expert,"Front-End Development, React"
Javacript Dev for RPG Maker Plugins,Hourly,N/A,Intermediate,"Game Development, JavaScript, RPG Maker"
Adobe XD Functional Feature Prototype,Hourly: $15.00 - $30.00,N/A,Intermediate,"Interactive Prototype, Adobe XD, Prototyping"
Monthly Website Update Coordinator,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, WordPress, Data Entry, Web Design, Content Writing"
"React, Ruby on Rails Engineer Needed -- Strong in React",Hourly: $5.00 - $10.00,N/A,Expert,"React, Ruby on Rails, CSS, JavaScript, Amazon Web Services, Web Application, HTML"
API development Airtable - courier,Fixed price,"Est. budget:
$50.00",Intermediate,"API, Airtable, API Integration"
Experienced Developer for Bridging iOS SDK Functionality to React Native,Hourly: $30.00 - $50.00,N/A,Expert,"React Native, iOS, Android"
Remote Mouse Click Automation Program Development,Fixed price,"Est. budget:
$500.00",Intermediate,"Python, Java, C#, JavaScript, Lead Generation"
Website Setup for Coaching Business on Simplero,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, Web Design, Social Media Marketing, Marketing Strategy, Lead Generation"
Looking for a website builder who can build a similar website like Craigslist.,Hourly: $12.00 - $27.00,N/A,Intermediate,"Web Development, JavaScript, HTML, Web Design"
WooCommerce Developer Needed for Composite Products & Theme-Based Configurator Integration,Hourly: $12.00 - $27.00,N/A,Intermediate,WooCommerce
Webflow Developer,Hourly: $10.00 - $20.00,N/A,Intermediate,"Web Development, Webflow, Website, Web Design, Landing Page, Animation"
GHL Automated Booking Expert Needed,Hourly: $20.00 - $40.00,N/A,Intermediate,"Web Development, WordPress, JavaScript, PHP, Automation"
Flutter Web Dev,Hourly,N/A,Intermediate,"Web Development, Flutter"
iOS / Android Internal Work Order Application,Hourly,N/A,Intermediate,"Mobile App Development, iOS, Android, Azure App Service"
C# Developer (Desktop & Integration Focus),Hourly,N/A,Intermediate,"API Integration, C#, .NET Framework, SQL, Python"
Senior Python Developer for an ongoing project,Hourly: $35.00 - $35.00,N/A,Intermediate,"Chatbot Development, Python, Django, FastAPI, AWS Application"
C# Developer (Desktop & Integration Focus),Hourly,N/A,Intermediate,"API Integration, C#, .NET Framework, SQL, Python"
Web Designer with Webflow Expertise,Hourly,N/A,Expert,"Web Development, Website, Mockup, Prototyping, Visual Communication, UX Writing, Webflow, +3"
Node.js \ Error when starting the site prevents the site from launching,Fixed price,"Est. budget:
$200.00",Intermediate,"Web Development, Node.js, JavaScript"
Shopify Developer | Full stack developer React / jQuery / Liquid,Hourly: $10.00 - $18.00,N/A,Intermediate,"App Development, Web Development, Liquid, JavaScript, HTML, jQuery, React, HTML5, +2"
Build an Online Price Comparison and Credibility Score App,Hourly: $12.00 - $27.00,N/A,Intermediate,"App Development, Web Development, App Feature Development, PHP, App Design"
Webflow Developer Needed,Hourly,N/A,Expert,"Web Development, Webflow, Web Design"
Fix and Improve a Google Chrome extension,Hourly: $15.00 - $35.00,N/A,Intermediate,"Google Chrome Extension, JavaScript"
"Set up docker, S3, and SNS",Fixed price,"Est. budget:
$350.00",Expert,"Docker, Amazon Web Services, Amazon S3, DevOps, Deployment Automation, Linux System Administration"
Shopify Website Design Changes,Hourly: $15.00 - $20.00,N/A,Intermediate,"Web Development, Shopify, Web Design, Shopify Templates, HTML"
ICO Token Development and Launch,Hourly: $10.00 - $15.00,N/A,Expert,"Blockchain, Cryptocurrency, Initial Coin Offering, Ethereum, Smart Contract, Solidity"
Develop responsive Wordpress based website from a Figma file + widget implementation,Fixed price,"Est. budget:
$550.00",Expert,
Laravel & React Developer Needed for Code Fixes and CRUD Enhancements,Fixed price,"Est. budget:
$50.00",Expert,"Full-Stack Development, Web Development, MySQL, PostgreSQL, React, JavaScript, Laravel, PHP, +1"
"[$250] Wallet - In offline mode, no full blocking view in country page, country & currency are editable #54746 - Expensify",Fixed price,"Est. budget:
$250.00",Intermediate,
Need an offline copy of my ecommerce site,Hourly: $20.00 - $40.00,N/A,Expert,"Website Migration, Web Scraping"
Automate Numbering System in Notion Database,Hourly: $20.00 - $50.00,N/A,Intermediate,"Microsoft Excel, Automation, SQL, Microsoft Windows PowerShell, MySQL"
Shopify Website Development and Customization,Hourly: $5.00 - $12.00,N/A,Intermediate,"Web Development, Shopify, Web Design, CSS, HTML"
Figma Design + Webflow Dev,Fixed price,"Est. budget:
$3,000.00",Expert,"Web Development, Website Redesign, Website, Figma, Webflow, Web Design, HTML, CSS, +2"
"Reaserch Django, AI Chatbot developer",Fixed price,"Est. budget:
$150.00",Intermediate,"GPT-4, Python, Django, Natural Language Processing, React, Data Science"
Solidity code to save data over Web3,Fixed price,"Est. budget:
$200.00",Expert,"Solidity, Blockchain, Cryptocurrency"
"Developing A Comprehensive Platform for Managing Educational, Sports, and Recreational Activities",Hourly,N/A,Expert,"Web Development, Full-Stack Development, Front-End Development, Back-End Development, iOS Development, +5"
setup iot streaming with Gstream and Agora,Fixed price,"Est. budget:
$200.00",Expert,"Internet of Things, Python, Video Stream, Embedded System, GStreamer, Agora.io"
Comparison table HTML-CSS wordpress,Hourly: $15.00 - $25.00,N/A,Intermediate,"CSS, HTML, WordPress"
WordPress & Elementor Expert Needed for Company Profile Landing Page,Hourly: $10.00 - $20.00,N/A,Intermediate,"Web Development, WordPress, Web Design, Landing Page, Graphic Design"
Full stack developer,Fixed price,"Est. budget:
$200.00",Intermediate,
Build a system that finds Burnt down Property,Hourly: $15.00 - $35.00,N/A,Intermediate,"API, Python"
Front-end developer,Fixed price,"Est. budget:
$200.00",Intermediate,"Next.js, React"
Updating software,Hourly,N/A,Intermediate,C#
VPN mobile application in Flutter,Fixed price,"Est. budget:
$100.00",Intermediate,"Mobile App Development, Flutter, iOS, Android"
".NET Expert Needed for Legacy Application: Compile, Cloud Deployment, and Documentation",Fixed price,"Est. budget:
$250.00",Expert,"SQLite, Azure Cosmos DB, .NET Framework, C#, Microsoft Azure, ASP.NET, Azure App Service, API, +2"
Experienced Ruby on Rails Developer Needed for Existing Codebase,Hourly: $10.00 - $15.00,N/A,Intermediate,"Ruby, Ruby on Rails, JavaScript, API, PostgreSQL"
Mobile Flashcard/Quiz Practice App Development,Fixed price,"Est. budget:
$750.00",Intermediate,"Web Development, Tablet, Smartwatch, Android, iOS, Smartphone, JavaScript, User Authentication"
Process Flow Map Development,Hourly,N/A,Intermediate,"Microsoft Visio, Graphic Design, Flowchart, JavaScript, Business Intelligence"
UI Development for Rideshare App in React Native,Hourly: $15.00 - $20.00,N/A,Intermediate,"Mobile App Development, React Native, Android, iOS, Smartphone"
Frontend Developer Needed to Build Responsive Dashboard,Fixed price,"Est. budget:
$70.00",Expert,"Front-End Development, React"
Javacript Dev for RPG Maker Plugins,Hourly,N/A,Intermediate,"Game Development, JavaScript, RPG Maker"
